,combined,total_occurrences,num_of_winners_or_forced_errors,percentage_of_winner,percentage_of_total_occurences_of_combination,percentage_of_overall_winner
0,f1f1,801,426,0.5318352059925093,0.034944594712503274,0.01858476572724893
1,f1f3,776,448,0.5773195876288659,0.03385393944681965,0.019544542361050517
2,f3b3,456,188,0.41228070175438597,0.01989355204606928,0.008201727597940843
3,f3b1,378,174,0.4603174603174603,0.016490707617136377,0.0075909606491580146
4,b3b1,340,140,0.4117647058823529,0.01483291161329727,0.006107669487828287
5,b2f1,310,122,0.3935483870967742,0.013524125294476922,0.005322397696536079
6,f1f2,296,143,0.4831081081081081,0.012913358345694093,0.006238548119710322
7,b3b3,290,78,0.2689655172413793,0.012651601081930024,0.003402844428932903
8,f2f3,279,110,0.3942652329749104,0.01217171276502923,0.00479888316900794
9,b1f1,274,160,0.583941605839416,0.011953581711892505,0.006980193700375186
10,b2f3,262,92,0.3511450381679389,0.011430067184364366,0.004013611377715731
11,f2f1,249,113,0.4538152610441767,0.010862926446208883,0.0049297618008899745
12,z3b1,241,186,0.7717842323651453,0.010513916761190123,0.008114475176686153
13,b1f3,233,146,0.6266094420600858,0.010164907076171363,0.006369426751592357
14,m2o1,221,207,0.9366515837104072,0.009641392548643225,0.009030625599860396
15,f+3b3,218,197,0.9036697247706422,0.00951051391676119,0.008594363493586946
16,b1v1,203,192,0.9458128078817734,0.008856120757351017,0.008376232440450222
17,f3s3,201,124,0.6169154228855721,0.008768868336096327,0.005409650117790769
18,b3f1,195,99,0.5076923076923077,0.008507111072332258,0.004318994852107146
19,b3z1,193,174,0.9015544041450777,0.008419858651077567,0.0075909606491580146
20,z1f3,189,176,0.9312169312169312,0.008245353808568189,0.007678213070412704
21,f+3b1,186,156,0.8387096774193549,0.008114475176686153,0.006805688857865806
22,m2o3,180,171,0.95,0.007852717912922084,0.007460082017275979
23,f3b2,177,57,0.3220338983050847,0.007721839281040049,0.00248669400575866
24,f+1f1,172,163,0.9476744186046512,0.007503708227903324,0.00711107233225722
25,v3b1,169,124,0.7337278106508875,0.00737282959602129,0.005409650117790769
26,z3b3,162,106,0.654320987654321,0.007067446121629875,0.00462437832649856
27,v1f3,159,149,0.9371069182389937,0.006936567489747841,0.006500305383474392
28,f1b1,158,66,0.4177215189873418,0.0068929412791204955,0.002879329901404764
29,f3f3,148,90,0.6081081081081081,0.0064566791728470465,0.003926358956461042
30,s3f3,145,46,0.31724137931034485,0.006325800540965012,0.0020068056888578657
31,z1f1,143,132,0.9230769230769231,0.006238548119710322,0.005758659802809528
32,b3f3,139,53,0.381294964028777,0.006064043277200943,0.00231218916324928
33,f+1f3,133,118,0.8872180451127819,0.0058022860134368725,0.0051478928540266995
34,b2v1,133,124,0.9323308270676691,0.0058022860134368725,0.005409650117790769
35,b3b2,131,34,0.2595419847328244,0.005715033592182183,0.001483291161329727
36,f3z3,127,120,0.9448818897637795,0.005540528749672803,0.005235145275281389
37,f3f1,126,83,0.6587301587301587,0.005496902539045458,0.0036209754820696275
38,v3b3,118,92,0.7796610169491526,0.0051478928540266995,0.004013611377715731
39,b3s3,116,48,0.41379310344827586,0.005060640432772009,0.0020940581101125556
40,f3s2,116,90,0.7758620689655172,0.005060640432772009,0.003926358956461042
41,f1v3,114,99,0.868421052631579,0.00497338801151732,0.004318994852107146
42,s2f3,112,39,0.3482142857142857,0.004886135590262629,0.0017014222144664515
43,s1f1,111,48,0.43243243243243246,0.004842509379635285,0.0020940581101125556
45,s3f1,110,53,0.4818181818181818,0.00479888316900794,0.00231218916324928
44,s3b1,110,37,0.33636363636363636,0.00479888316900794,0.0016141697932117616
46,s3b3,109,22,0.2018348623853211,0.004755256958380595,0.000959776633801588
47,f3s1,109,78,0.7155963302752294,0.004755256958380595,0.003402844428932903
48,f2b3,109,36,0.3302752293577982,0.004755256958380595,0.0015705435825844167
49,f1b3,103,44,0.42718446601941745,0.0044934996946165255,0.001919553267603176
50,m3o1,102,98,0.9607843137254902,0.00444987348398918,0.0042753686414798014
51,b1f2,100,56,0.56,0.004362621062734491,0.0024430677951313147
52,s2f1,100,47,0.47,0.004362621062734491,0.002050431899485211
53,b2z1,98,80,0.8163265306122449,0.0042753686414798014,0.003490096850187593
54,s3z1,97,83,0.8556701030927835,0.004231742430852456,0.0036209754820696275
55,s1f3,96,46,0.4791666666666667,0.004188116220225111,0.0020068056888578657
56,b1v3,92,80,0.8695652173913043,0.004013611377715731,0.003490096850187593
57,f2b1,91,35,0.38461538461538464,0.003969985167088387,0.0015269173719570717
58,l2o3,91,87,0.9560439560439561,0.003969985167088387,0.0037954803245790073
59,v1f1,89,83,0.9325842696629213,0.0038827327458336967,0.0036209754820696275
60,f2v3,87,77,0.8850574712643678,0.0037954803245790073,0.003359218218305558
61,m1o1,85,80,0.9411764705882353,0.0037082279033243174,0.003490096850187593
62,b2f2,85,22,0.25882352941176473,0.0037082279033243174,0.000959776633801588
63,b2b1,84,18,0.21428571428571427,0.0036646016926969722,0.0007852717912922083
64,f2b2,83,14,0.1686746987951807,0.0036209754820696275,0.0006107669487828287
65,z2f1,83,62,0.7469879518072289,0.0036209754820696275,0.0027048250588953843
66,s2v1,80,75,0.9375,0.003490096850187593,0.003271965797050868
67,b3z2,79,71,0.8987341772151899,0.0034464706395602477,0.0030974609545414886
68,z2f3,78,52,0.6666666666666666,0.003402844428932903,0.0022685629526219353
69,m3o3,73,68,0.9315068493150684,0.0031847133757961785,0.002966582322659454
70,b3z3,73,67,0.9178082191780822,0.0031847133757961785,0.002922956112032109
71,f3z2,73,67,0.9178082191780822,0.0031847133757961785,0.002922956112032109
72,f2f2,71,16,0.22535211267605634,0.0030974609545414886,0.0006980193700375186
73,f1r2,71,65,0.9154929577464789,0.0030974609545414886,0.002835703690777419
74,z3f1,70,62,0.8857142857142857,0.0030538347439141435,0.0027048250588953843
75,b3s1,69,40,0.5797101449275363,0.0030102085332867987,0.0017450484250937964
76,f3z1,68,63,0.9264705882352942,0.002966582322659454,0.002748451269522729
77,z2b1,63,38,0.6031746031746031,0.002748451269522729,0.0016577960038391066
78,s+3b1,62,49,0.7903225806451613,0.0027048250588953843,0.0021376843207399007
79,z2b3,61,38,0.6229508196721312,0.0026611988482680396,0.0016577960038391066
80,s1v1,59,53,0.8983050847457628,0.0025739464270133497,0.00231218916324928
81,b2b3,59,13,0.22033898305084745,0.0025739464270133497,0.0005671407381554838
82,b3s2,58,31,0.5344827586206896,0.0025303202163860046,0.0013524125294476922
83,f+3s3,57,55,0.9649122807017544,0.00248669400575866,0.00239944158450397
84,f2z3,56,53,0.9464285714285714,0.0024430677951313147,0.00231218916324928
85,f1b2,56,19,0.3392857142857143,0.0024430677951313147,0.0008288980019195533
86,v2b3,56,40,0.7142857142857143,0.0024430677951313147,0.0017450484250937964
87,v3f1,55,47,0.8545454545454545,0.00239944158450397,0.002050431899485211
89,m2o2,54,50,0.9259259259259259,0.0023558153738766252,0.0021813105313672454
90,m1o3,54,51,0.9444444444444444,0.0023558153738766252,0.00222493674199459
88,l2o1,54,47,0.8703703703703703,0.0023558153738766252,0.002050431899485211
91,f+3b2,50,45,0.9,0.0021813105313672454,0.001963179478230521
92,s+3b3,48,29,0.6041666666666666,0.0020940581101125556,0.0012651601081930023
93,f1v1,48,45,0.9375,0.0020940581101125556,0.001963179478230521
94,z3m3,46,39,0.8478260869565217,0.0020068056888578657,0.0017014222144664515
95,f1r3,46,42,0.9130434782608695,0.0020068056888578657,0.0018323008463484861
96,b1v2,45,38,0.8444444444444444,0.001963179478230521,0.0016577960038391066
97,f+3s1,45,43,0.9555555555555556,0.001963179478230521,0.001875927056975831
98,b2b2,44,8,0.18181818181818182,0.001919553267603176,0.0003490096850187593
99,s3s3,43,13,0.3023255813953488,0.001875927056975831,0.0005671407381554838
100,f1r1,43,40,0.9302325581395349,0.001875927056975831,0.0017450484250937964
101,b2v3,43,39,0.9069767441860465,0.001875927056975831,0.0017014222144664515
102,v2b1,43,23,0.5348837209302325,0.001875927056975831,0.0010034028444289328
103,f+3f1,42,38,0.9047619047619048,0.0018323008463484861,0.0016577960038391066
104,z3f3,42,34,0.8095238095238095,0.0018323008463484861,0.001483291161329727
107,f1v2,41,37,0.9024390243902439,0.0017886746357211412,0.0016141697932117616
105,v2f3,41,35,0.8536585365853658,0.0017886746357211412,0.0015269173719570717
106,z3s1,41,38,0.926829268292683,0.0017886746357211412,0.0016577960038391066
108,z1b3,40,24,0.6,0.0017450484250937964,0.0010470290550562778
109,z1b1,40,25,0.625,0.0017450484250937964,0.0010906552656836227
110,s3z3,40,36,0.9,0.0017450484250937964,0.0015705435825844167
111,f+1b1,40,34,0.85,0.0017450484250937964,0.001483291161329727
112,f1s3,40,26,0.65,0.0017450484250937964,0.0011342814763109677
113,i3b1,40,30,0.75,0.0017450484250937964,0.0013087863188203472
114,s+1f1,39,35,0.8974358974358975,0.0017014222144664515,0.0015269173719570717
115,h3b3,39,26,0.6666666666666666,0.0017014222144664515,0.0011342814763109677
116,b3v1,39,33,0.8461538461538461,0.0017014222144664515,0.001439664950702382
122,f3f2,38,19,0.5,0.0016577960038391066,0.0008288980019195533
124,b3f2,38,15,0.39473684210526316,0.0016577960038391066,0.0006543931594101736
123,h3b1,38,30,0.7894736842105263,0.0016577960038391066,0.0013087863188203472
121,f1f+3,38,20,0.5263157894736842,0.0016577960038391066,0.0008725242125468982
120,s3s1,38,11,0.2894736842105263,0.0016577960038391066,0.000479888316900794
118,b2z3,38,34,0.8947368421052632,0.0016577960038391066,0.001483291161329727
117,b+1f1,38,36,0.9473684210526315,0.0016577960038391066,0.0015705435825844167
119,f+1f2,38,35,0.9210526315789473,0.0016577960038391066,0.0015269173719570717
126,b1z1,37,37,1.0,0.0016141697932117616,0.0016141697932117616
125,b1b1,37,13,0.35135135135135137,0.0016141697932117616,0.0005671407381554838
127,b2f+3,36,19,0.5277777777777778,0.0015705435825844167,0.0008288980019195533
128,v1b1,36,33,0.9166666666666666,0.0015705435825844167,0.001439664950702382
129,b1r2,36,35,0.9722222222222222,0.0015705435825844167,0.0015269173719570717
130,b+3b3,36,35,0.9722222222222222,0.0015705435825844167,0.0015269173719570717
131,b+3b1,36,35,0.9722222222222222,0.0015705435825844167,0.0015269173719570717
134,b1v^1,35,32,0.9142857142857143,0.0015269173719570717,0.0013960387400750371
136,s2z1,35,28,0.8,0.0015269173719570717,0.0012215338975656573
135,v3m3,35,31,0.8857142857142857,0.0015269173719570717,0.0013524125294476922
133,s2f+1,35,20,0.5714285714285714,0.0015269173719570717,0.0008725242125468982
132,f+3s2,35,31,0.8857142857142857,0.0015269173719570717,0.0013524125294476922
138,b+1f3,34,33,0.9705882352941176,0.001483291161329727,0.001439664950702382
139,r2f3,34,19,0.5588235294117647,0.001483291161329727,0.0008288980019195533
140,s+1f3,34,29,0.8529411764705882,0.001483291161329727,0.0012651601081930023
137,i2f1,34,27,0.7941176470588235,0.001483291161329727,0.0011779076869383126
141,f1s1,33,23,0.696969696969697,0.001439664950702382,0.0010034028444289328
142,f2v1,33,30,0.9090909090909091,0.001439664950702382,0.0013087863188203472
143,f1z3,33,30,0.9090909090909091,0.001439664950702382,0.0013087863188203472
144,l1o3,33,32,0.9696969696969697,0.001439664950702382,0.0013960387400750371
145,l3o3,33,31,0.9393939393939394,0.001439664950702382,0.0013524125294476922
146,f2f+1,32,19,0.59375,0.0013960387400750371,0.0008288980019195533
147,v1b3,32,24,0.75,0.0013960387400750371,0.0010470290550562778
148,f1s2,32,18,0.5625,0.0013960387400750371,0.0007852717912922083
151,f+1b3,31,29,0.9354838709677419,0.0013524125294476922,0.0012651601081930023
150,b3z^1,31,27,0.8709677419354839,0.0013524125294476922,0.0011779076869383126
149,f2f+3,31,23,0.7419354838709677,0.0013524125294476922,0.0010034028444289328
153,z1l3,30,28,0.9333333333333333,0.0013087863188203472,0.0012215338975656573
152,z3s3,30,26,0.8666666666666667,0.0013087863188203472,0.0011342814763109677
154,z3b2,29,15,0.5172413793103449,0.0012651601081930023,0.0006543931594101736
155,s2f+3,29,16,0.5517241379310345,0.0012651601081930023,0.0006980193700375186
156,v3s1,29,27,0.9310344827586207,0.0012651601081930023,0.0011779076869383126
157,f2v2,28,26,0.9285714285714286,0.0012215338975656573,0.0011342814763109677
158,r1f3,27,14,0.5185185185185185,0.0011779076869383126,0.0006107669487828287
165,l1o1,26,24,0.9230769230769231,0.0011342814763109677,0.0010470290550562778
162,f+3m2,26,25,0.9615384615384616,0.0011342814763109677,0.0010906552656836227
163,b2v2,26,23,0.8846153846153846,0.0011342814763109677,0.0010034028444289328
164,b2z2,26,20,0.7692307692307693,0.0011342814763109677,0.0008725242125468982
161,v3m2,26,23,0.8846153846153846,0.0011342814763109677,0.0010034028444289328
160,i2f3,26,24,0.9230769230769231,0.0011342814763109677,0.0010470290550562778
159,h2b1,26,16,0.6153846153846154,0.0011342814763109677,0.0006980193700375186
166,f+3m3,25,24,0.96,0.0010906552656836227,0.0010470290550562778
167,z1l2,25,24,0.96,0.0010906552656836227,0.0010470290550562778
168,v2f1,25,17,0.68,0.0010906552656836227,0.0007416455806648635
169,z1f2,24,22,0.9166666666666666,0.0010470290550562778,0.000959776633801588
170,i3b3,24,11,0.4583333333333333,0.0010470290550562778,0.000479888316900794
171,r2f1,24,14,0.5833333333333334,0.0010470290550562778,0.0006107669487828287
172,s3v1,24,22,0.9166666666666666,0.0010470290550562778,0.000959776633801588
173,b3z^3,24,23,0.9583333333333334,0.0010470290550562778,0.0010034028444289328
174,f+3f3,24,22,0.9166666666666666,0.0010470290550562778,0.000959776633801588
175,b1r1,24,24,1.0,0.0010470290550562778,0.0010470290550562778
176,s1z1,24,20,0.8333333333333334,0.0010470290550562778,0.0008725242125468982
177,i1f3,24,20,0.8333333333333334,0.0010470290550562778,0.0008725242125468982
180,f+2b3,23,19,0.8260869565217391,0.0010034028444289328,0.0008288980019195533
181,r2f+3,23,15,0.6521739130434783,0.0010034028444289328,0.0006543931594101736
179,r1v3,23,18,0.782608695652174,0.0010034028444289328,0.0007852717912922083
178,b3y1,23,8,0.34782608695652173,0.0010034028444289328,0.0003490096850187593
183,b1z2,22,22,1.0,0.000959776633801588,0.000959776633801588
184,m3p1,22,21,0.9545454545454546,0.000959776633801588,0.0009161504231742431
182,b2f+1,22,15,0.6818181818181818,0.000959776633801588,0.0006543931594101736
185,z3m1,21,20,0.9523809523809523,0.0009161504231742431,0.0008725242125468982
186,s2z3,21,17,0.8095238095238095,0.0009161504231742431,0.0007416455806648635
187,s2v3,21,15,0.7142857142857143,0.0009161504231742431,0.0006543931594101736
188,v1f2,21,16,0.7619047619047619,0.0009161504231742431,0.0006980193700375186
189,v3f3,21,19,0.9047619047619048,0.0009161504231742431,0.0008288980019195533
194,b3v3,20,19,0.95,0.0008725242125468982,0.0008288980019195533
197,f3v3,20,17,0.85,0.0008725242125468982,0.0007416455806648635
196,s1v3,20,12,0.6,0.0008725242125468982,0.0005235145275281389
195,f2s3,20,5,0.25,0.0008725242125468982,0.00021813105313672456
192,v3s3,20,18,0.9,0.0008725242125468982,0.0007852717912922083
193,z3m2,20,19,0.95,0.0008725242125468982,0.0008288980019195533
