,rally,receiving_shot,winning_shot,combined
0,6f2f2b2b3*,b2,b3,b2b3
1,4b2f3s2f+2b2v1f1*,v1,f1,v1f1
2,6s2f+3s2o1*,s2,o1,s2o1
3,5f2f3s3f3s2f1f2f2b2b3s1f2f1f1f3*,f1,f3,f1f3
4,5b2f3b2f1f3b2f3*,b2,f3,b2f3
5,4b2b+2f3z3*,f3,z3,f3z3
6,6s2f;1f1f2f1r2f3*,r2,f3,r2f3
7,5s2f+1f3z2*,f3,z2,f3z2
8,6b2b2b2f1f2f1f2f1*,f2,f1,f2f1
9,6f2b3b1*,b3,b1,b3b1
10,5b2b3b3b2r2f+3*,b2,r2,b2r2
11,6s2f2b2f2f1*,f2,f1,f2f1
12,4f38b+28s2v19*,s2,v1,s2v1
13,4s2j18f39*,j1,f3,j1f3
14,4r28f+18f2v37*,f2,v3,f2v3
15,c4b29f28f+38b2z17*,b2,z1,b2z1
16,6s37f-18b2z37f3z17*,f3,z1,f3z1
17,5s38f19s17r18f38s38f39b19s19f18b38*,f1,b3,f1b3
18,6f39b29f39*,b2,f3,b2f3
19,4b28f18s29f+37f3z19b19*,z1,b1,z1b1
20,5s18f17s39f29b29f17s28f39f38b+28s2v18b17*,v1,b1,v1b1
21,4f29f19b28s28f+38b2z^17*,s2,b2,s2b2
22,6f27f+19b2z39l3o27*,l3,o2,l3o2
23,4b39b38f38b39*,f3,b3,f3b3
24,6b29f19f19b39s29f+18f1z38*,f1,z3,f1z3
25,4f28b39s39b38b39b38f39b29f19f18f+39m39*,f1,m3,f1m3
26,5b28f19l2j38*,l2,j3,l2j3
27,4f29b27s28f+18*,b2,s2,b2s2
28,6s29f18f39s39b19r29f18f39b28b38y37s-19l29*,y3,l2,y3l2
29,6r28f+18f2z37*,f2,z3,f2z3
30,6f27f+38m2o17*,m2,o1,m2o1
31,6f19f19f18f39b27f29f18f19f19f28s29f38s37s+29f19*,s3,f1,s3f1
32,c6b29f29s38s37s29b38b39b38f+19r17u-27*,b3,r1,b3r1
33,6f29b38s39f38s39b39b19f17f17r27s+19l2o37*,l2,o3,l2o3
34,6r18f18f29b28b37s28f39b28f28b27f38s39f39b38b37s18f18f38*,f1,f3,f1f3
35,6b29f17f39*,f1,f3,f1f3
36,cc6r28f+38m2o19*,m2,o1,m2o1
37,6s28f+38b3z28m2o17*,m2,o1,m2o1
38,6f2f2f1f+3m2o2*,m2,o2,m2o2
39,4r2f2r2f+3m2o2*,m2,o2,m2o2
40,4f2f2b3b2b2f1f2f+3*,f1,f2,f1f2
41,6f3b3b1r1f+3b2z1*,b2,z1,b2z1
42,4f2f2f+3b3z2*,b3,z2,b3z2
43,4b2f3b2y1f+2b3*,y1,b3,y1b3
44,6s2f2b2b3b3b3s1*,b3,s1,b3s1
45,6s1f1r2f+1*,f1,r2,f1r2
46,6f2f2f2y3s-2v2*,y3,v2,y3v2
47,6s2f+2f2z2f-2*,f2,z2,f2z2
48,4s2f3s2f+1*,f3,s2,f3s2
49,4s2r-1l2o1r1*,o1,r1,o1r1
50,5f2f+1f1v2*,f1,v2,f1v2
51,6f2b2f1f2y3s-3z2*,y3,z2,y3z2
52,6s2f2s1f3s2f-;2*,f3,s2,f3s2
53,6b2f1r2f+3s3z1*,s3,z1,s3z1
54,4s2f2f1f2f1*,f2,f1,f2f1
55,4f2b2s2y2r-3m2o2*,m2,o2,m2o2
56,6b2f2f2b2f1*,b2,f1,b2f1
57,4s2f-2b3z3b2*,z3,b2,z3b2
58,6f2f+3b2v2*,b2,v2,b2v2
59,6f2f2f3*,f2,f3,f2f3
60,4f2b3s2f+1*,b3,s2,b3s2
61,6f2f2f1*,f2,f1,f2f1
62,6f3b3b3b3u2*,b3,u2,b3u2
63,6r2f3s2f1*,s2,f1,s2f1
64,4r2s+3b3z2*,b3,z2,b3z2
65,6f2b3b2b3b2f+2f3*,b2,f3,b2f3
66,4f2f1b3s2u3*,s2,u3,s2u3
67,6b2b2f1*,b2,f1,b2f1
68,6s2f+3b3z2f1*,z2,f1,z2f1
69,4+f2z2b2*,z2,b2,z2b2
70,4s2f+3s2o2*,s2,o2,s2o2
71,4+f2z2b3*,z2,b3,z2b3
72,6f2b2f3s2f+1*,f3,s2,f3s2
73,4+f2z3b3*,z3,b3,z3b3
74,4s2f1f1f3s2b+1f3*,s2,f3,s2f3
75,4+f2z2t2z2*,t2,z2,t2z2
76,4f3b2s3b1*,s3,b1,s3b1
77,5+f2z28f19*,z2,f1,z2f1
78,6s29f18s29f19s28f+18*,f1,s2,f1s2
79,4s29s19s27s+18b2v17*,b2,v1,b2v1
80,4+r2v39m1z17*,m1,z1,m1z1
81,6r18f2s29f19s19f38*,s1,f3,s1f3
82,5+b1z39m1v17*,m1,v1,m1v1
83,6+b2z38f18*,z3,f1,z3f1
84,6f27f37s38f37s39f38b28f17f27f+19*,f1,f2,f1f2
85,6f39f37b28f28b39f19r28f+38*,f1,r2,f1r2
86,6s29f+38s2v18f18*,v1,f1,v1f1
87,5b28f+38b2z27r2z37*,r2,z3,r2z3
